新華園港式燒臘  桃園區中山路361號
大間日料店	桃園區中山北路52號
拉麵吧育樂店	桃園區育樂街32號
阿華師豆漿店	桃園區中山路366號
珍珍排骨    桃園區中山路402號
日日自助餐	桃園區中山路368號
港島主麵-桃園店 港式-美食-小吃-撈麵-湯麵	桃園區育樂街65號
家美膳南門排骨麵	桃園區育樂街67號
用❤️素食自助餐	桃園區中山路364號
北平大個子	桃園區縣府路56號
陽廚mini鍋 桃園宵夜 宵夜找點吃 麻辣鍋(店休看FB IG)	桃園區中山路358號
恵レストラン所在地（對春恵）	桃園區育樂街
窩聚早午餐	桃園區育樂街27號
起家雞韓式炸雞 桃園市府店	桃園區中山路327號
太豪小籠包大王	桃園區中山北路9號
韓大俠×牛座十二-桃園市府滷牛肉飯推薦|燒肉便當外帶|附近美食餐廳|獨家滷牛肉飯|燒肉快餐必吃|高評價燒肉快餐|職人滷牛肉料理|高CP值滷牛肉	桃園區四維街12號1樓
親愛的小籠湯包-市府中山北店	桃園區中山北路32號
台雞店 養生廚房 四維店（原復興路））	桃園區四維街8號
臺北德芳美	桃園區四維街6號
店餃食	桃園區中山路351號
中山北路早餐店	桃園區中山北路48號
喜洋洋羊肉爐(傳統香)	桃園區中山路355號
喜羊羊生炒羊肉	桃園區中山路353之1號
肯德基 桃園中山二餐廳	桃園區中山路444號
平價早餐店	桃園區復興路418巷17號
漫思茶38號人文茶館	桃園區中原路38號
大發肉羹	桃園區中山北路64號
方控肉飯	桃園區中山北路64號
香草蛋糕舖 民族總店 Vanilla｜生日蛋糕｜桃園甜點｜桃園蛋糕｜咖啡廳｜餐廳｜美食｜義大利麵	桃園區民族路193號
榮記豆漿（台北永和豆漿）	桃園區民族路163號
開成素食	桃園區民族路238號
張爺爺客家小吃	桃園區民族路168號
居麵屋台灣小吃	桃園區民族路196號1樓
台越小吃店	桃園區民族路192號
永川牛肉麵 - 桃園民族店	桃園區民族路177號
嘉義羅各式熱炒	Taiwan
英豪 喝2杯日式平價海鮮	桃園區民族路148號
東古早味早午餐店	桃園區民族路231號
愛佳友酒家	桃園區民族路235號
總店花東鹿野土雞桶仔雞(需先電話預約烤約50分鐘)只限外帶	桃園區南華街167號1樓
犇牛炒飯邦	桃園區民族路237號
好婆婆自助餐	桃園區中山路214號
紅龜飲食店	桃園區中山路212號
洪記涼麵	桃園區民族路210號
飄香千里 大陸餅.韭菜盒.豆腐捲（豆腐捲搶手，請先打電話預留）	桃園區南華街155號
新永康快炒	桃園區民族路212號
我愛蜜蜂	桃園區中山路226號2樓
欣旺來活蝦料理店	桃園區中山路199號
龍門串燒中山店	桃園區中山路199號
Didi愛微笑Life	桃園區和興街25號1號樓之10
大中小吃部快炒100	桃園區民權路117號
惡狼傳說酒吧	桃園區南華街140號
采軒複合式餐廳	桃園區中山路248號
阿郎蚵仔麵線	桃園區南華街150號
故鄉の味	Taiwan
饅好吃	桃園區中山路244號
排骨嫂藥燉排骨	桃園區民權路71巷56號
秀綠披薩（桃園）	桃園區民族路145號
紅飛刀日式料理	桃園區三民路三段269-1號
千賓鐵板燒	桃園區三民路三段249號
比壽司	桃園區南昌街1號
鄉村漢堡	桃園區南華街141號
萬華麻油雞桃園中山店	桃園區中山路122號
清輝飲食店	桃園區南昌東街14號
南門市場吳臭豆腐	桃園區中山路249號
南門好吃肉圓	桃園區南昌東街10號
真味道牛肉麵	桃園區中山路262號
李記豬腳	桃園區中山路262號
藝奇新日本料理桃園南華店	桃園區南華街60號
西堤牛排 桃園南華店	桃園區南華街66號
老袁牛肉麵	桃園區中華路82號
阿德台南擔仔麵	桃園區文化街51號
周師傅燒肉飯_桃園中華店	桃園區中華路78號
弘爺漢堡 - 南華店	桃園區南華街84號
傳世-包子饅頭壽桃紅龜專賣店	桃園區南門街15號
桂田拉麵	桃園區中華路136-1號
粹想町-洋食Cafe	桃園區中華路129號
阿忠刈包總店	桃園區中華路127號
徊香美食小館	桃園區南華街51號
燉·點 soup&dumplings    桃園區南華街49號
麥斯漢堡	桃園區南華街61號
南門文昌雞飯麵食堂	桃園區南華街65號一 樓
達利早餐Daily Breakfast-桃園南華店	桃園區南華街67號
好伴麵店 桃園中華店	桃園區中華路114號
Jellyfish Bistro&Bar桃園水母餐酒館｜酒吧｜	桃園區復興路262號
大羊鐵板燒	桃園區南華街27號
職人燒臘肉坊	桃園區復興路266號
安平港𩵚魠魚羹（桃園店）	桃園區中華路159號
享念販糰 桃園旗艦店	桃園區中華路159號
本物洋食 Honmono Pasta & Curry 桃園中華店	桃園區中華路110號
雲之洲廣東粥｜鍋燒麵-桃園粥品推薦|人氣粥品|必吃廣東粥|必吃鍋燒麵|人氣鍋燒麵|廣東粥推薦	桃園區復興路260號
小南門飯殿	桃園區南華街40號
巷弄內ㄙ鍋e	桃園區南華街93巷35號
JSP 呷尚宝	桃園區鎮南街72號
POPOMAN 韓式食堂	桃園區南華街93巷19號
媽媽素食早午餐店	桃園區三民路三段306號
素食早餐	桃園區三民路三段302號
第一香焿の專賣店（站前中華店）	桃園區中華路105號
阿婆飯糰	桃園區文化街27號
就是煎炸	桃園區三民路三段290號
草本植物臭豆腐	桃園區復興路328巷36號
圓圓堡經濟早餐	桃園區三民路三段357號
一力佳包子饅頭	桃園區三民路三段336號
