大漠紅頂級蒙古鍋 桃園店,桃園區中正路327號
谷林鐵板燒,桃園區永安路180號
九福包子,桃園區中正路338號
新金華園餐廳,No. 32號, 三民路三段, 桃園區
胖子牛肉,桃園區北新街74號
三民路泰國蝦,桃園區三民路三段17號
源士林粥品,桃園區中正路363號1樓
四芳鄰食堂(前雪球咖啡),桃園區三民路三段43號
千葉日式居酒屋,桃園區三民路三段21號
魔王厚切雞排 桃園三民店,桃園區三民路三段59號
越式風味館,桃園區三民路三段36號
原味食堂,桃園區中正路335號
吃烤鴨,桃園區永安路174號
老司雞桶仔雞,桃園區中正路341號
米麒麟香米便當,桃園區三民路三段6號
阿披婆藥燉排骨,桃園區三民路三段4號
赤炎烤肉飯,桃園區永安路184號
中正路349-1無名傳統早餐,桃園區中正路349-1號
碗粿瑞仔,桃園區永安路190號
新福星美食館,桃園區福昌街
有夠炸台灣味鹹酥雞&炸海鮮,桃園區永安路196-1號
可蘿早餐,桃園區中正路361號
財旺精緻自助餐,桃園區中正路313號
烏醋乾拌麵,桃園區中正路311號
福記南京板鴨,桃園區中正路344號
香港洪記餐飲專賣店,桃園區中正路376號
人民滷味,桃園區中正路378號
Home炸雞,桃園區大同路204號
南門國小紅豆餅,桃園區南山街50號
喫包子(絕無添加香精和色素,讓您吃得健康又安心),桃園區復興路337號
【桃園】爭厚厚切牛排•板橋亞東原創,桃園區復興路311號
八方雲集桃園復興店,桃園區復興路359號1樓
顏記傳統早餐,桃園區秀山路51號
進益傳統小吃,桃園區復興路364號
巨堡速食（漢堡三明治奶茶）,桃園區秀山路65號
鍋滿園,桃園區復興路365-2號
燒便當,桃園區秀山路67號
東饌池上便當,桃園區復興路365號
mickep米淇 美式早午餐,桃園區秀山路75號
來來小吃店,桃園區秀山路73號
麥味登 桃市南門店,1樓, No. 299號, 复兴路, 桃園區
清玉手調原味茶-桃園復興店（來電、自取買五送一）,桃園區復興路365之8號
麥斯漢堡,桃園區復興路330號
CopokaPIZZA 手工窯烤披薩(桃園總店),1樓, No. 66號, 博爱路, 桃園區
四川味牛肉麵,桃園區永安路22號
阿泓雞肉飯,桃園區中正路237號
信華素食專門店,桃園區和平路59號
好吃魯肉飯,桃園區中正路202號
不貽樣湯包,桃園區中正路247號
一角兩角鹹酥雞,桃園區中正路236號
20年老店朝鳳嘉義火雞肉飯,90-102, 和平路, 桃園區
台南牛饕溫體牛肉湯桃園店,桃園區中正路251號
大廟厚切牛排,桃園區中正路243號
桃園大廟後/老師傅厚切牛排總匯,桃園區中正路253號
漁夫-蚵仔煎、生炒花枝羹專門店,桃園區中正路239號
鄭胖子爌肉飯,桃園區和平路88號
美春素食麵線&冬粉,桃園區永樂街51號
午夜市場 Woo Yeah Market 塔可飯專門 Taco Rice,桃園區永樂街47號
金門道地料理餐館,桃園區永安路40號
［黎記］越南牛肉河粉,桃園區永安路40號
三峽正土雞,Taiwan
阿秋鹹粥,桃園區中正路269號
小平水餃館（中正分店）,桃園區中正路223號
鴨肉麵,桃園區永樂街62號
深夜自助餐,桃園區和平路53號No
永樂無名清粥小菜,桃園區永樂街56號
貴哥vip好友自助餐,桃園區永樂街56號
古早味肉粽,桃園區永樂街6號
阿宗豬血糕桃園中正店,桃園區中正路221號
生炒鴨肉羹,桃園區中正路220號
廟後瓜仔肉飯,桃園區中正路222號
毛屋台 日式關東煮,桃園區永安路44號
陽春麵,桃園區永樂街34號No
大溫柔飲食店,Taiwan
巨森早餐店,桃園區中正路215號
哇炒|炒麵、炒飯、炒泡麵、炸物|,桃園區博愛路56號
屘滷坊 加熱滷味,桃園區中正路211號
古意蛋糕屋,桃園區中正路211號
雅加達漢堡店,桃園區新生路39號
四十號小吃店,桃園區和平路40號
